canopy.type,height,wind.velocity,distance
Closed ,3.6,0.92,0.58
Closed ,3.6,1.25,0.58
Closed ,3.6,0.81,0.45
Closed ,3.6,0.92,0.54
Closed ,3.6,0.66,0.58
Closed ,6.7,1.08,0.59
Closed ,6.7,0.73,0.59
Closed ,6.7,0.86,0.52
Closed ,6.7,0.11,0.59
Closed ,6.7,0.15,0.59
Closed ,9.2,1.39,0.1
Closed ,9.2,1.5,0.42
Closed ,9.2,0.9,0.37
Closed ,9.2,0.66,0.5
Closed ,9.2,0.91,0.47
Closed ,12.3,0.14,1.4
Closed ,12.3,0.11,0.46
Closed ,12.3,0.12,0.2
Closed ,12.3,0.18,0.14
Closed ,12.3,0.09,0.7
Closed ,14.7,0.21,0.65
Closed ,14.7,0.45,0.48
Closed ,14.7,1.91,0.4
Closed ,14.7,0.1,0.56
Closed ,14.7,1.19,0.45
Closed ,17.15,1.26,3.02
Closed ,17.15,0.17,2.57
Closed ,17.15,0.68,3.02
Closed ,17.15,0.15,2.75
Closed ,17.15,1.42,2.6
Open,1,0.47,0.13
Open,1,0.76,0.13
Open,1,0.34,0.12
Open,1,0.26,0.11
Open,1,0.33,0.13
Open,1,0.87,0.09
Open,1,0.26,0.07
Open,1,0.19,0.13
Open,1,0.79,0.12
Open,1,0.58,0.12
Open,1.5,0.79,0.14
Open,1.5,0.8,0.14
Open,1.5,1.1,0.09
Open,1.5,0.76,0.09
Open,1.5,0.68,0.09
Open,1.5,1.15,0.1
Open,1.5,0.63,0.15
Open,1.5,0.65,0.14
Open,2,0.27,0.21
Open,2,0.74,0.35
Open,2,0.64,0.23
Open,2,1.36,0.21
Open,2,0.47,0.18
Open,2,0.29,0.3
Open,2,0.63,0.18
Open,2,0.27,0.13
Open,3.4,1.89,0.62
Open,3.4,0.26,0.57
Open,3.4,1.8,0.6
Open,3.4,2.97,0.57
Open,3.4,1.26,0.52
Open,6.7,0.56,0.67
Open,6.7,0.76,0.59
Open,6.7,1.06,0.65
Open,6.7,1.16,0.72
Open,6.7,0.78,0.7
Open,9.15,1.62,0.4
Open,9.15,1.68,0.41
Open,9.15,0.27,0.34
Open,9.15,0.58,0.89
Open,9.15,0.29,0.41
Open,12.25,2.59,0.17
Open,12.25,1.04,0.18
Open,12.25,1.98,0.6
Open,12.25,3.22,0.3
Open,12.25,2.92,0.37
Open,16.85,4.02,0.42
Open,16.85,3.52,0.75
Open,16.85,1.62,0.63
Open,16.85,1.01,0.46
Open,16.85,0.14,0.65
